ID,Timestamp,Age_Group,Gender,Region,Preferred_Tool,Satisfaction,Feedback
1,2024-03-28,18-24,Male,North,Python,1,Very useful tool
2,2024-02-08,25-34,Other,East,Python,5,Very useful tool
3,2024-04-30,25-34,Male,North,Excel,3,Highly recommended
4,2024-02-26,25-34,Female,South,Excel,5,Average
5,2024-02-10,35-44,Male,West,Python,3,Needs improvement
6,2024-04-24,35-44,Male,East,Power BI,3,Average
7,2024-02-03,25-34,Female,South,SQL,3,Average
8,2024-01-15,25-34,Other,North,SQL,2,Needs improvement
9,2024-02-27,18-24,Male,East,Power BI,4,Highly recommended
10,2024-01-05,35-44,Other,West,Power BI,3,Loved it
11,2024-04-17,25-34,Other,North,Python,1,Average
12,2024-04-09,25-34,Male,South,Power BI,3,Needs improvement
13,2024-03-09,25-34,Other,Central,Power BI,5,Very useful tool
14,2024-02-18,25-34,Other,North,Python,5,Loved it
15,2024-02-11,45-60,Male,East,Python,1,Needs improvement
16,2024-03-14,45-60,Male,North,R,5,Too complex
17,2024-04-04,45-60,Male,North,R,3,Very useful tool
18,2024-01-29,18-24,Male,North,Excel,4,Very useful tool
19,2024-04-10,25-34,Male,West,SQL,1,Needs improvement
20,2024-02-28,18-24,Other,North,Excel,4,Loved it
21,2024-03-31,18-24,Male,East,Excel,4,Too complex
22,2024-03-27,35-44,Male,South,Excel,4,Too complex
23,2024-02-07,18-24,Other,South,Python,1,Loved it
24,2024-01-27,18-24,Female,North,R,1,Excellent experience
25,2024-02-29,35-44,Male,North,Power BI,4,Loved it
26,2024-01-21,35-44,Female,Central,Python,2,Could be better
27,2024-01-19,18-24,Other,South,R,1,Needs improvement
28,2024-01-03,45-60,Other,East,Excel,5,Excellent experience
29,2024-01-23,18-24,Other,South,Excel,1,Too complex
30,2024-01-30,25-34,Male,North,SQL,1,Too complex
31,2024-02-25,25-34,Female,North,Python,5,Excellent experience
32,2024-03-27,25-34,Female,West,Excel,3,Needs improvement
33,2024-03-20,35-44,Other,North,Power BI,5,Very useful tool
34,2024-01-12,25-34,Other,West,SQL,3,Highly recommended
35,2024-01-10,35-44,Other,Central,Excel,5,Highly recommended
36,2024-02-10,45-60,Female,South,Excel,3,Average
37,2024-03-14,25-34,Other,East,Excel,3,Loved it
38,2024-01-26,25-34,Female,West,Python,2,Too complex
39,2024-03-02,18-24,Male,East,R,2,Average
40,2024-02-19,25-34,Other,South,Python,2,Excellent experience
41,2024-03-14,35-44,Male,West,Excel,2,Loved it
42,2024-01-28,18-24,Other,West,Excel,5,Loved it
43,2024-04-18,18-24,Female,West,Python,5,Too complex
44,2024-02-28,45-60,Other,South,R,5,Excellent experience
45,2024-04-02,35-44,Male,South,R,3,Could be better
46,2024-01-13,25-34,Female,East,R,4,Excellent experience
47,2024-04-18,45-60,Male,East,Python,2,Very useful tool
48,2024-03-21,35-44,Other,East,Power BI,3,Too complex
49,2024-02-10,18-24,Female,East,Excel,5,Excellent experience
50,2024-02-29,25-34,Other,North,SQL,4,Excellent experience
51,2024-04-09,18-24,Female,Central,R,3,Excellent experience
52,2024-01-23,25-34,Female,East,Python,1,Could be better
53,2024-01-05,35-44,Other,East,Excel,1,Needs improvement
54,2024-01-03,25-34,Male,East,Python,5,Highly recommended
55,2024-02-21,45-60,Other,North,Excel,5,Needs improvement
56,2024-01-02,18-24,Male,Central,Python,3,Very useful tool
57,2024-02-08,25-34,Female,East,Excel,4,Could be better
